Placa,Ano,Modelo
AAA6925,2009,ECOSPORT
AAA7074,2001,QUANTUM
AAA7258,2007,STILO
AAA7472,2006,POLO
AAA7531,2003,SANTANA
AAA7991,2008,307
AAA8036,2007,L
AAA8144,2008,JOURNEY
AAA8229,1998,GOLF
AAA8256,2005,ASTRA
AAA8361,1996,CORSA GL
AAA8429,2010,MONTANA
AAA8757,2008,L200
AAA8974,2009,FIESTA
AAA9142,2010,PALIO
AAA9439,2006,P94GA4X2NZ
AAA9576,2010,GOL
AAA9771,2007,FIT
AAA9791,2007,PART
AAA9803,1998,R113
AAA9804,1998,R113
AAA9816,1998,T113
AAA9978,2006,VECTRA
AAB0298,1990,UNO S
AAB0669,2003,1728
AAB0703,2005,307
AAB0995,2006,ASTRA
AAB1383,1986,SAVEIRO
AAB3761,1990,NL
AAB3952,1990,ESCORT L
AAB4473,1990,ESCORT 1.8 GL
AAB4564,1990,ESCORT
AAB5211,1990,GOL
AAB5816,1990,T
AAB6726,1990,T
AAB7038,1984,MONZA
AAB7081,1983,L
AAB7172,1986,T112 H 4X2
AAB7558,1988,MONZA SL
AAB8579,1981,T50
AAB8987,1985,L 608 D
AAC0257,1985,CHEVETTE
AAC0433,1990,L
AAC0508,1977,L
AAC0540,1979,BELINA II
AAC1645,1990,T
AAC1830,1989,709
AAC3823,1990,CHEVETTE
AAC3913,1974,VERANEIO
AAC3A82,1990,14.14
AAC4001,1995,OMEGA
AAC4887,1990,SR
AAC5160,1978,L
AAC5417,1990,KADETT
AAC5807,1990,R112 HW 4X2
AAC6169,2002,KIA
AAC7213,1990,T
AAC7406,1990,UNO
AAC7487,1980,L111S
AAC9564,1990,F1000
AAD0298,1990,KADETT
AAD1180,1985,VOYAGE
AAD1811,2006,DOBLO
AAD2511,1988,MONZA SL
AAD3008,2004,ZAFIRA
AAD3262,1981,L
AAD3737,2005,L
AAD3815,1977,L 1313
AAD5225,2010,I30
AAD5292,1990,16.210 H
AAD5479,1988,L
AAD6008,2010,COROLLA
AAD6529,1990,PAMPA GL
AAD6804,1990,KADETT SL
AAD7234,1975,L
AAD7579,1990,GOL
AAD8165,1988,FIORINO
AAD8576,1987,PARATI
AAD9184,1965,FUSCA
AAD9668,2011,CORSA
AAE0049,2005,COROLLA
AAE0296,1985,PREMIO
AAE0484,2011,ASTRA
AAE0537,1977,FUSCA
AAE5454,2003,FIESTA
AAE5667,1990,SANTANA CL
AAE6840,1985,UNO SX
AAE8457,1985,UNO
AAE9547,1987,CG
AAF0314,2007,300C
AAF0605,2005,POLO
AAF1307,2005,DOBLO
AAF3549,1988,FIAT
AAF4848,2005,AX0R
AAF5372,1990,GOL
AAF7980,1989,N12
AAF9260,1990,GOL GL
AAF9410,1977,FUSCA 1600
AAF9820,1981,LK
AAG0105,1999,FORD RANGER 12E
AAG0347,1978,L
AAG0956,1990,T112 HW 4X2
AAG2120,1975,L
AAG3014,1990,T
AAG3590,1990,SANTANA
AAG3688,1975,F600
AAG6328,1990,SR
AAG6357,1990,QUANTUM
AAG6401,1981,LA
AAG7025,1973,CORCEL
AAG7072,1975,L
AAG7373,2003,STILO
AAG7777,1987,VOYAGE
AAG9999,1990,T
AAH0026,2004,FH12
AAH0581,1987,F1000
AAH0807,2007,GOL
AAH1080,1977,L
AAH1707,2007,SENTRA
AAH1963,1973,OPALA
AAH3336,1982,GOL
AAH3579,1990,PARATI
AAH4433,2009,GOLF
AAH5744,1988,PARATI
AAH6095,1990,L
AAH6588,2012,CELTA
AAH7439,1990,PARATI
AAH7447,2009,TUCSON
AAH7913,2010,CROSSFOX
AAH8054,1978,L
AAH9152,1990,PREMIO CSL 1.6
AAI0330,1997,COROLLA
AAI0338,2010,LOGAN
AAI1661,2010,SIENA
AAI2164,1990,11140
AAI3444,2007,24.25
AAI4166,1975,L
AAI4507,1990,CHEVETTE
AAI5259,1990,GOL
AAI5656,2003,CARGO
AAI9636,1974,FNM
AAI9872,1977,L
AAJ0299,2009,BOXER
AAJ0584,1977,L
AAJ0843,1974,FUSCA 1500
AAJ1633,1986,MONZA
AAJ2710,1989,MONZA SL
AAJ2969,1990,ONCA MS
AAJ3058,1985,LS
AAJ5642,1975,VW
AAJ5998,2010,BOXER
AAJ8992,1978,FUSCA
AAJ9333,2010,130I
AAJ9642,1985,R112
AAJ9865,1979,L
AAJ9937,1982,R112 MA 4X2
AAK0729,2001,CELTA
AAK1026,2001,GOL
AAK1196,2001,ASTRA
AAK1547,2001,GOL
AAK1830,2001,R124
AAK2164,2001,UNO
AAK3234,2001,GMC/6100
AAK3309,2001,GOL
AAK3546,2001,COURIER
AAK3612,2001,1938
AAK4160,2001,GOL
AAK4616,2001,PALIO
AAK5024,2001,SANTANA
AAK5034,2001,PALIO
AAK5548,2001,SCENIC
AAK6200,2001,SILVERADO
AAK6629,2001,R124
AAK6998,2017,COMPASS
AAK7038,2001,L
AAK7938,2001,GOL
AAK8212,2001,SIENA
AAK8344,2001,GOLF
AAK8587,2001,GOL
AAK9338,2001,FH12
AAK9389,2001,FACCHINI
AAL1391,1971,L
AAL1440,1997,LS 1630
AAL1454,1979,L111S
AAL2065,1986,CARGO
AAL2354,1968,FUSCA
AAL3785,1986,UNO
AAL4916,1986,PASSAT LSE
AAL5007,2004,COROLLA
AAL6111,2009,GOL
AAL6771,1977,L
AAL6797,1979,L
AAL6924,1988,7.11
AAL8323,1989,NL
AAL9418,1984,BANDEIRANTE
AAM0072,1995,MB
AAM0154,1986,SAVEIRO
AAM0281,1983,OPALA
AAM0881,2007,PRISMA
AAM2322,2005,23.22
AAM3262,1974,SCANIA-VABIS
AAM3675,1978,BELINA
AAM4423,1979,LK
AAM4834,1976,SCANIA
AAM4889,1988,SR
AAM4B30,1988,PARATI GL
AAM6997,1979,F100
AAM7136,1988,SANTANA GLS
AAM8390,1980,BRASILIA
AAM8738,1978,LK 140
AAM8875,1987,KOMBI
AAM8885,2005,RANGER
AAM9002,1997,914
AAM9623,1984,T112
AAN0037,2003,ECOSPORT
AAN0208,2007,CORSA
AAN0868,1987,L
AAN1349,1990,NL10 340
AAN3234,1985,L 1113
AAN3826,1982,T112
AAN4110,1977,SCANIA
AAN4129,1985,N12
AAN4628,1977,L
AAN4777,2008,CLASSIC
AAN7048,1980,7000
AAN7310,1985,L
AAN8388,2013,PALIO
AAN9560,1990,GOL
AAO0135,1990,CG
AAO0208,2007,307
AAO0634,1990,XLX
AAO1133,1995,CARGO
AAO1741,1988,T112
AAO2448,1990,KADETT
AAO2765,1986,T112
AAO4289,1990,VERONA
AAO4872,1990,GOL CL
AAO4960,1990,GOL
AAO5190,1990,NL
AAO5788,1985,VOYAGE
AAO7511,1989,16.21
AAO7711,2011,QQ3
AAO7995,1990,UNO CS EXPORT
AAO8933,1990,UNO
AAO9184,1990,T142
AAP0454,1984,SANTANA CD
AAP0685,1988,SANTANA CL
AAP1430,1980,190
AAP1474,1990,CARGO
AAP2365,1979,L
AAP2407,1990,GOL GL
AAP4466,2005,COROLLA
AAP4555,2008,CLIO
AAP5192,1986,AGR
AAP6005,2008,VW
AAP7001,2000,R124
AAP7164,1987,GOL
AAP8938,1985,UNO S
AAP8E94,1990,T112 HW 4X2
AAP9515,1988,CHEVETTE
AAQ0074,2012,TIIDA
AAQ0510,1990,L
AAQ1050,1984,R112 H 4X2
AAQ1635,1989,MOBBY
AAQ3389,1990,KADETT
AAQ3592,1990,UNO
AAQ3694,1990,ESCORT
AAQ4633,1990,GOL
AAQ5877,1990,CARGO
AAQ6522,1982,VOYAGE
AAQ6693,1990,R112
AAQ6721,1984,CG
AAQ7156,1979,125
AAQ7186,1980,L111S
AAQ8538,1990,T112 HW 4X2
AAQ8970,1985,PARATI
AAQ9228,1990,CARGO
AAR0141,2005,COROLLA
AAR1114,2006,FUSION
AAR1410,1976,CHEVROLET C10
AAR1709,1988,T112
AAR1939,1990,SANTANA
AAR2144,1977,L
AAR4572,1974,F600
AAR4953,1985,L
AAR5208,1990,VERONA
AAR5675,1980,BELINA
AAR5945,1990,VERONA
AAR7203,1974,125
AAR8042,1990,GOL CL
AAR8279,1990,MONZA
AAR9725,1980,L
AAS0074,1999,323I
AAS1247,1981,N
AAS1602,1972,L 1113
AAS2050,1994,SANTANA GLS 2000
AAS2122,1990,VERONA GLX
AAS2893,1990,VERONA GLX
AAS3095,1987,N12
AAS4760,1990,UNO
AAS5183,1989,T112
AAS6388,1976,B110
AAS8G68,2000,412D
AAT0221,2011,AX0R
AAT1288,2013,R
AAT1863,1979,7000
AAT1955,1999,PARATI
AAT2400,2009,VW
AAT3071,1983,CHEVETTE
AAT4013,2013,FH
AAT4781,1989,GOL
AAT5630,1981,VOYAGE
AAT5781,1984,F1000
AAT6111,2009,C4
AAT6808,2013,R
AAT8603,1988,T112 HS 4X2
AAT9056,1982,125
AAT9865,1980,CG
AAT9995,2011,VM
AAT9996,2011,SR3E27
AAU0079,2009,KA
AAU0271,1975,FUSCA 1300
AAU0374,1984,ESCORT
AAU0440,1998,T114 GA4X2NZ 360
AAU1089,1984,DEL REY
AAU1569,1990,GOL
AAU2245,1986,UNO
AAU2529,1978,L
AAU3307,2009,TUCSON
AAU3377,1993,LOGUS
AAU3507,1975,SCANIA
AAU4229,1986,PAMPA
AAU4447,2016,COROLLA
AAU6413,1986,D20
AAU7303,1989,L
AAU7722,2011,FOCUS
AAU8226,1988,ESCORT L
AAU9188,1980,CHEVETTE
AAU9374,1976,SCANIA
AAV1017,2008,FOX
AAV1318,1985,VW
AAV1375,1979,MERCEDES BENZ
AAV2946,1988,PAMPA
AAV4000,2000,HILUX
AAV4053,1975,L
AAV4654,1990,UNO S
AAV5557,2010,COROLLA
AAV5859,1981,190
AAV6076,1990,SANTANA GLS
AAV6100,2008,SANDERO
AAV6914,1979,BRASILIA
AAV7067,1990,MONZA
AAV7711,2010,PALIO
AAV7977,1988,L
AAV7H72,2010,CITY
AAV8966,1979,F4000
AAV9750,1967,RANDON
AAW0098,2009,CIVIC
AAW1106,2010,VECTRA
AAW1133,1997,SR
AAW1531,2001,GOL
AAW1621,2001,R124
AAW1A64,2001,PALIO
AAW2080,2001,ZAFIRA
AAW2227,2000,CIVIC
AAW2291,2001,R124
AAW2339,2001,SR
AAW3629,2001,712
AAW3918,2001,40.3
AAW3984,2001,KOMBI
AAW4090,2001,FIESTA
AAW4599,2001,R124
AAW4656,2001,L1622
AAW4736,2001,PALIO
AAW4879,2001,CELTA
AAW4971,2000,SCENIC
AAW5306,2001,CORSA
AAW5526,2001,ASTRA
AAW5547,2001,C100
AAW5729,2001,ASTRA
AAW5915,2001,CBX
AAW5973,2001,9800
AAW6345,2001,GOL
AAW6J11,2001,PALIO
AAW7078,2001,15.17
AAW7121,2001,FH12
AAW7308,2001,R124
AAW7310,2001,R124
AAW7527,2001,SSC2ECA
AAW7528,2001,SSC2ECA
AAW7538,2001,CG
AAW7777,1989,PREMIO
AAW7826,2001,GOL
AAW8090,2001,17.21
AAW8096,2001,PRISMA
AAW8268,2001,CARGO
AAW8363,2001,GOL
AAW8671,2001,R124
AAW9659,2001,L
AAW9703,2001,STRADA
AAW9825,2001,GM
AAW9H59,2001,L
AAX0060,2000,BRAVA
AAX0727,2010,XC60
AAX1006,2008,CIVIC
AAX1797,1990,LS
AAX1983,1990,MONZA SL
AAX2005,2003,FOCUS
AAX2244,2003,ECOSPORT
AAX2613,1985,T112 H 4X2
AAX3313,2002,GOLF
AAX5242,1990,KADETT
AAX5245,1988,CARGO
AAX5275,1990,GOL
AAX7005,2011,CIVIC
AAX7805,1990,KOMBI PICK UP
AAX8515,1983,MONZA
AAX8803,1985,KOMBI FURGAO
AAX8818,2009,MMC
AAX9042,1986,N
AAY0199,2007,CB600F
AAY0205,2000,ASTRA
AAY0245,2000,CORSA
AAY0473,2001,L
AAY0531,2001,17.21
AAY1016,2001,CORSA
AAY1067,2001,SAVEIRO
AAY1218,2001,CORSA
AAY1414,2003,CIVIC
AAY1451,2001,PALIO
AAY1555,2009,GOLF
AAY1663,2001,CARGO
AAY3674,2001,GOL
AAY3803,2001,PALIO
AAY4196,2001,17.21
AAY4513,2001,CORSA
AAY4699,2001,SIENA
AAY5368,2001,FIESTA
AAY5657,2001,CELTA
AAY5791,2001,CLIO
AAY6341,2001,CARGO
AAY7634,2001,LS
AAY8954,2001,CIVIC
AAY9077,2001,SAVEIRO
AAY9561,2001,SCENIC
AAY9622,2001,PALIO
AAY9647,2001,LS
AAY9677,2001,17.21
AAZ0048,2007,VW
AAZ0435,1982,FUSCA
AAZ1199,1997,KA
AAZ1613,1981,L
AAZ1663,1980,CHEVETTE
AAZ2121,2001,PALIO
AAZ3548,1990,T
AAZ4156,1988,LS
AAZ4500,1999,ASTRA
AAZ6198,1989,FIAT
AAZ7262,1985,L
AAZ7814,1980,TT
AAZ9441,1981,125
AAZ9521,1988,LS
ABA0016,1993,POINTER GL 1.8
ABA0074,2002,SCENIC
ABA0167,1990,VOYAGE CL
ABA0227,2002,CARGO
ABA0512,1985,SANTANA CG
ABA1263,1989,SANTANA
ABA1662,1980,ML 125
ABA1960,1994,MONZA
ABA2034,1990,DEL REY BELINA 1.8 L
ABA2118,1990,UNO
ABA2294,1989,ESCORT GHIA
ABA3519,1990,R112
ABA3600,1994,CORSA
ABA3952,1991,GOL
ABA4238,1988,CHEVETTE
ABA4455,1999,16.2
ABA4997,1990,16.21
ABA5253,1980,608
ABA5773,1990,L
ABA6593,1990,T112
ABA6971,1990,VOYAGE
ABA6982,1990,PARATI CL 1.8
ABA7093,1990,DEL REY L
ABA7502,1989,T112 HS 4X2
ABA8434,1991,SAVEIRO CL
ABA9014,1983,PASSAT
ABA9036,1972,FUSCA
ABA9306,1973,L
ABA9483,1982,CG
ABA9500,1994,MONZA
ABA9671,1990,GOL
ABA9977,1995,VW
ABA9998,1997,PALIO ED
ABB0438,1979,L 1519
ABB0469,1991,T112
ABB1027,1986,ELBA
ABB1565,1991,GOL CL
ABB1673,1980,L
ABB2168,1975,L
ABB2294,1990,GOL
ABB3264,1990,CG
ABB3476,1990,DEL REY BELINA GLX
ABB3714,1990,T
ABB3721,1991,MONZA
ABB3781,1991,PARATI GL
ABB4446,2006,ASTRA
ABB4518,1982,LK
ABB4773,1990,N10
ABB4775,1990,L
ABB5162,1990,MONZA SL
ABB5368,1991,ESCORT
ABB5776,1971,M.B./M.BENZ
ABB6100,1974,L
ABB7111,2005,XTERRA
ABB7929,1977,M.B./M.BENZ
ABB8276,1986,PREMIO
ABB8648,1986,RANDON
ABB8908,1988,GOL CL
ABB9367,1986,CHEVETTE L
ABB9858,1972,VARIANT
ABC0041,1999,A 160
ABC0104,2000,BRAVA
ABC1126,1988,CHEVETTE
ABC1740,1979,LK
ABC4545,1986,MONZA CLASSIC
ABC5504,1984,PARATI
ABC6273,1988,SANTANA
ABC7306,1985,SANTANA
ABC8866,1989,L
ABC8886,1987,SAVEIRO
ABC9055,1989,L 1618
ABC9056,1979,BELINA II L
ABC9096,1999,ASTRA
ABC9158,1981,FUSCA 1300 L
ABC9669,1990,SANTANA
ABD0467,1981,N
ABD3035,2009,SAVEIRO
ABD3411,1976,L
ABD3532,1970,L
ABD3808,2006,F250
ABD4084,1974,FUSCA
ABD5043,1988,CB
ABD5100,2004,L
ABD5333,2009,207HB
ABD6010,1988,R112
ABD6079,1975,FUSCA
ABD6834,1986,A10
ABD7077,2000,BRAVA
ABD7699,1978,L111S
ABD9336,1988,LS
ABE0120,1991,QUANTUM
ABE0170,1985,R112
ABE0501,2008,MEGANEGT
ABE1223,1983,T112 EW 4X2
ABE2111,2007,C4
ABE2890,1986,CHEVETTE
ABE2B25,1986,N10 XH
ABE4468,1986,PARATI
ABE4720,1985,BELINA
ABE5409,1983,GOL
ABE5544,2008,POLO
ABE5913,1988,CARGO
ABE6480,1978,PASSAT
ABE7779,2008,ACCORD
ABE7989,1987,T112
ABE8112,1988,ESCORT
ABE8708,1980,LS
ABF0033,1996,UNO
ABF0254,1990,NL
ABF0504,2004,A3
ABF1164,1971,SCANIA
ABF1697,1973,FUSCA
ABF1944,1983,T112
ABF3700,2005,VM23
ABF3769,1985,CG 125
ABF3D87,1990,KOMBI
ABF4045,2006,SIENA
ABF6022,2007,C4
ABF6061,2007,PICASSO
ABF7711,2007,PICASSO
ABF8388,2007,MERIVA
ABF8576,1981,L
ABF9325,1985,L
ABF9701,1989,LS 1934
ABG0080,1990,T
ABG0127,2007,FIESTA
ABG0202,1993,R113
ABG1192,1976,FUSCA
ABG1928,1997,SANTANA 2000 MI
ABG3555,2007,FH
ABG3614,1990,16.21
ABG4451,1980,L 1113
ABG5333,2009,FH
ABG6754,1991,T112
ABG7562,1986,QUANTUM CS
ABG8022,2011,SAVEIRO
ABG8600,2007,FH
ABG8C32,1991,L
ABH0H24,1989,L 1114
ABH1257,1973,L
ABH2525,2004,KA
ABH3041,1991,R112
ABH4941,1987,LS
ABH5128,1988,GOL CL
ABH5418,1989,L
ABH6152,1985,T112 H 4X2
ABH6372,1988,L
ABH6442,1991,PAMPA
ABH7869,1975,L110
ABH7D96,1978,L
ABH8175,1988,CG
ABH8356,1977,L
ABH8773,1987,R112 H 4X2
ABH8856,1990,NL
ABH9911,2011,TIIDA
ABI0478,1990,NL10 340
ABI1193,1989,14210
ABI1977,1998,PALIO WEEKEND EX
ABI2247,1981,L
ABI2405,1991,ESCORT GL
ABI2511,1986,ESCORT L
ABI2617,1969,1111
ABI2824,1988,L
ABI3792,1987,ESCORT
ABI4449,2010,GOL
ABI6135,1991,UNO
ABI7117,1988,GOL
ABI7139,1978,CORCEL
ABI7551,1987,GOL
ABI8066,1968,1111
ABI8067,1984,PARATI
ABI9004,2008,C4
ABJ0025,2003,FOCUS
ABJ0063,2008,AZERA
ABJ0138,2009,C3
ABJ0244,2009,VM
ABJ0248,2009,ATEGO
ABJ0278,2008,IVECOSTRALISHD
ABJ0299,2008,IVECOECCURSOR
ABJ0302,2009,ATEGO
ABJ0336,2010,G
ABJ0383,2013,R
ABJ0729,2010,GOL
ABJ1112,2000,RANGER
ABJ1202,2005,EUROTECH740E42TZN1
ABJ1249,2015,ATEGO
ABJ1560,2012,NOVO
ABJ1562,2018,CF85
ABJ1567,2013,C3 90M TENDANCE
ABJ1858,2001,ZAFIRA
ABJ2026,2008,TUCSON
ABJ2277,2007,PRISMA
ABJ2377,2017,GLA200FF
ABJ3432,2013,TECTOR
ABJ4002,2007,FH
ABJ4059,2012,FH
ABJ4088,2008,STRADA
ABJ4532,2008,CARGO
ABJ4A09,2013,A7
ABJ5070,2001,S10
ABJ5231,2010,CROSSFOX
ABJ6646,2011,SANDERO
ABJ7413,2005,COROLLA
ABJ8378,2009,RAV4
ABJ8510,2014,FH
ABJ8681,2012,BRAVO
ABJ8809,2013,HB20S
ABK0080,2000,T124
ABK0211,2007,POLO
ABK0429,2001,RANGER
ABK1179,2001,DAILY3510
ABK2556,2001,FH12
ABK3427,2001,CRUISE 125
ABK3498,2001,FIESTA
ABK3541,2001,L
ABK3595,2001,CORSA
ABK3894,2001,SR
ABK4101,2001,PALIO
ABK4314,2001,R124
ABK5193,2001,KA
ABK5426,2001,MPOLO
ABK5764,2001,GOL
ABK6179,2001,R124
ABK7165,2001,PALIO
ABK7224,2001,GOL
ABK8037,2001,MEGANE
ABK8177,2001,GOL
ABK8469,2001,PALIO
ABK8647,2001,GOL
ABK8740,2001,CELTA
ABK8741,2001,STRADA
ABK8E52,2001,CORSA
ABK9874,2001,FH12
ABK9930,2001,L1622
ABK9991,2014,HILUX
ABL0373,2011,C4
ABL0J64,2014,MASTER
ABL1157,2007,C3
ABL1496,2015,SANDERO
ABL1771,1999,1418
ABL2158,2007,VW
ABL3507,2019,T
ABL3600,1996,CORSA SUPER
ABL3841,2009,GOL
ABL4416,2015,ATEGO
ABL4500,1994,ESCORT 1.6I GL
ABL4G94,2019,VOYAGE
ABL4H23,2019,VOYAGE
ABL5008,2008,CLASSIC
ABL6989,2021,FACCHINI
ABL6A27,2019,T
ABL7887,2008,COROLLA
ABL7G88,2019,VOYAGE
ABL8818,2009,GOL
ABL8D93,2019,T
ABL9904,2015,320I
ABM0073,2002,330I
ABM0709,1991,709
ABM1106,2005,K1200
ABM1189,2010,VECTRA
ABM1317,2006,ECOSPORT
ABM1320,2006,VECTRA
ABM1322,2004,KA
ABM1425,2010,PRISMA
ABM1549,2013,CLASSIC
ABM1584,2012,PALIO
ABM1873,2010,CIVIC
ABM2244,2004,FOCUS
ABM2422,2004,CARGO
ABM2428,2006,CARGO
ABM2988,2009,MONTANA
ABM4540,2012,SIENA
ABM4720,2012,FIESTA
ABM4806,2019,R1250GS
ABM5148,2020,VOYAGE 1.0L MC4
ABM5500,1991,GOL GTS
ABM5837,2008,UNO
ABM6030,2008,TRACKER
ABM6251,2009,MONTANA
ABM6377,2010,MONTANA
ABM6786,2010,GOL
ABM8085,2008,RANGER
ABM8109,1996,QUANTUM CL 1800 I
ABM8343,2010,KIA
ABM9005,2010,24.25
ABM9007,2009,24.25
ABM9008,2008,24.250CN
ABM9013,2012,ATRON
ABM9015,2006,FIORINO
ABM9025,2014,ATRON
ABM9164,2009,207HB
ABM9868,2007,LOGAN
ABN0217,1977,F75
ABN1171,1989,CHEVETTE
ABN2132,1981,13000
ABN2260,1986,N10 XH
ABN2922,1989,R112
ABN3249,1978,L
ABN3451,1987,DEL REY GHIA
ABN3727,2010,VECTRA
ABN4678,1991,NL
ABN4976,1985,VW
ABN6083,1991,UNO MILLE
ABN6588,2014,SENTRA
ABN7201,1982,CHEVETTE
ABN7208,1982,KOMBI PICK UP
ABN8236,1978,L 1313
ABN8502,1981,CG
ABN8648,1987,PREMIO
ABN8682,1987,GOL C
ABN9727,1988,ESCORT GL
ABO0234,2006,HILUX
ABO0244,2015,C200
ABO0907,2010,PUNTO
ABO1114,2007,L
ABO1844,1973,L
ABO2006,2002,R124
ABO3337,2007,CIVIC
ABO3526,1980,L
ABO7934,1973,FUSCA
ABO8116,1986,PARATI PLUS
ABO8993,1975,FUSCA 1300
ABO9296,1991,MONZA SL
ABO9475,1991,L
ABO9696,1996,CORSA GL
ABO9715,1989,T112
ABO9858,1985,XL
ABP0110,1994,TEMPRA
ABP0291,1991,ESCORT GL
ABP0896,1991,R112
ABP1019,1991,L
ABP1116,1991,L
ABP1938,1991,LS 1941
ABP2117,1990,CHEVETTE DL
ABP2309,1989,GOL
ABP2365,1991,LS 1941
ABP2876,1991,T
ABP3112,1984,L 1113
ABP3322,2003,FIESTA
ABP3515,1968,OVERLAND
ABP4985,1981,FUSCA
ABP6002,2011,CROSSFOX
ABP6003,2011,SAVEIRO
ABP6355,1988,PARATI
ABP6895,1989,MONZA
ABP7134,1988,UNO CS
ABP7522,1989,CHEVY
ABP7944,1975,CUMMINS
ABP8136,1991,F11000
ABP8668,2007,CIVIC
ABQ0323,2010,I30
ABQ0434,1981,CORCEL II L
ABQ1167,1991,NL
ABQ1995,2007,206
ABQ2305,1988,CARGO 1418
ABQ3050,2008,R1200
